BookingID,BookingMonth,Season,RouteName,Region,MarketSegment,Travelers,LeadDays,TripDays,MaxAltitudeM,DifficultyScore,PermitComplexityScore,AcclimatizationDays,GuideIncluded,AccommodationLevel,BookingChannel,SpendPerPersonUSD,TotalSpendUSD,SatisfactionScore,RebookIntentScore,HighValueBooking,HighSatisfaction
NPTRK10001,4,Spring,Annapurna Circuit,Annapurna,International,2,89,15,5416,5,3,4,Yes,Budget,Online Platform,1431.0,2804.0,3.9,3.5,No,No
NPTRK10002,12,Winter,Annapurna Base Camp,Annapurna,SAARC,6,47,8,4130,3,2,1,Yes,Standard,Direct,749.0,4435.0,4.6,4.9,No,Yes
NPTRK10003,10,Autumn,Kathmandu-Pokhara Heritage,City & Culture,SAARC,5,39,6,1400,1,1,0,No,Comfort,Direct,777.0,3910.0,4.9,4.6,No,Yes
NPTRK10004,8,Monsoon,Upper Mustang,Mustang,International,3,73,14,3840,4,5,1,Yes,Comfort,Direct,3327.0,9945.0,4.2,4.0,Yes,No
NPTRK10005,10,Autumn,Upper Mustang,Mustang,International,2,102,13,3840,4,5,1,Yes,Standard,Travel Agent,2792.0,5392.0,4.2,3.9,Yes,No
NPTRK10006,7,Monsoon,Kathmandu-Pokhara Heritage,City & Culture,Domestic,3,29,5,1400,1,1,0,Yes,Budget,Travel Agent,345.0,1059.0,4.6,4.9,No,Yes
NPTRK10007,12,Winter,Langtang Valley,Langtang,Domestic,5,32,8,4773,3,2,2,Yes,Standard,Direct,466.0,2453.0,4.6,3.5,No,Yes
NPTRK10008,8,Monsoon,Chitwan Nature & Culture,Terai,Domestic,8,30,4,415,1,1,0,Yes,Standard,Travel Agent,296.0,2426.0,4.2,4.4,No,No
NPTRK10009,4,Spring,Everest Base Camp,Everest,SAARC,5,84,15,5364,5,4,2,Yes,Budget,Online Platform,1361.0,6402.0,4.1,3.4,Yes,No
NPTRK10010,5,Spring,Everest Base Camp,Everest,Domestic,6,62,13,5364,5,4,3,Yes,Standard,Travel Agent,1493.0,9213.0,4.9,5.0,Yes,Yes
NPTRK10011,9,Autumn,Everest Base Camp,Everest,International,4,92,15,5364,5,4,3,Yes,Standard,Direct,2257.0,9593.0,4.1,3.9,Yes,No
NPTRK10012,9,Autumn,Annapurna Base Camp,Annapurna,International,5,83,11,4130,3,2,1,Yes,Standard,Travel Agent,1339.0,7076.0,4.6,4.5,Yes,Yes
NPTRK10013,10,Autumn,Everest Base Camp,Everest,SAARC,1,101,16,5364,5,4,4,Yes,Budget,Travel Agent,1464.0,1429.0,4.3,4.5,No,No
NPTRK10014,10,Autumn,Annapurna Base Camp,Annapurna,International,1,84,8,4130,3,2,2,Yes,Standard,Travel Agent,862.0,818.0,4.9,4.3,No,Yes
NPTRK10015,4,Spring,Langtang Valley,Langtang,International,2,85,9,4773,3,2,3,No,Standard,Online Platform,683.0,1441.0,3.8,3.3,No,No
