BookingID,BookingMonth,Season,RouteName,Region,MarketSegment,Travelers,LeadDays,TripDays,MaxAltitudeM,DifficultyScore,PermitComplexityScore,AcclimatizationDays,GuideIncluded,AccommodationLevel,BookingChannel,SpendPerPersonUSD,TotalSpendUSD,SatisfactionScore,RebookIntentScore,HighValueBooking,HighSatisfaction
NPTRK10001,4,Spring,Annapurna Circuit,Annapurna,International,2,89,15,5416,5,3,4,Yes,Budget,Direct,1431.0,2804.0,3.9,4.1,No,No
NPTRK10002,3,Spring,Mardi Himal,Annapurna,International,5,85,6,4500,3,2,1,Yes,Standard,Online Platform,850.0,4196.0,5.0,5.0,No,Yes
NPTRK10003,12,Winter,Ghorepani Poon Hill,Annapurna,Domestic,4,19,6,3210,2,1,1,No,Standard,Online Platform,359.0,1444.0,4.6,5.0,No,Yes
NPTRK10004,10,Autumn,Mardi Himal,Annapurna,SAARC,4,60,4,4500,3,2,3,Yes,Budget,Direct,340.0,1309.0,4.6,4.5,No,Yes
NPTRK10005,6,Monsoon,Annapurna Base Camp,Annapurna,International,4,73,10,4130,3,2,2,Yes,Standard,Direct,845.0,3453.0,4.9,5.0,No,Yes
NPTRK10006,12,Winter,Langtang Valley,Langtang,International,2,89,8,4773,3,2,2,Yes,Comfort,Corporate/Group,886.0,1793.0,4.9,4.7,No,Yes
NPTRK10007,12,Winter,Langtang Valley,Langtang,Domestic,5,32,8,4773,3,2,2,Yes,Standard,Travel Agent,466.0,2453.0,4.6,4.7,No,Yes
NPTRK10008,12,Winter,Manaslu Circuit,Manaslu,SAARC,4,58,12,5106,5,5,3,Yes,Standard,Direct,1179.0,4732.0,4.5,4.4,Yes,Yes
NPTRK10009,4,Spring,Everest View Trek,Everest,International,3,65,7,3880,2,3,2,Yes,Standard,Online Platform,860.0,2556.0,5.0,4.4,No,Yes
NPTRK10010,5,Spring,Annapurna Circuit,Annapurna,Domestic,5,66,12,5416,5,3,2,Yes,Standard,Direct,906.0,4478.0,4.5,5.0,No,Yes
NPTRK10011,9,Autumn,Ghorepani Poon Hill,Annapurna,SAARC,3,79,5,3210,2,1,0,Yes,Standard,Travel Agent,440.0,1298.0,4.5,5.0,No,Yes
